id,web_name,full_name,team_id,team_name,position,status,status_description,chance_of_playing_next,news,minutes,starts,goals_scored,assists,yellow_cards,red_cards,influence,creativity,threat,ict_index,current_gameweek,recent_minutes_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,total_upcoming_fixtures,congestion_level,workload_intensity,is_overworked,availability_score,injury_prone,physical_demand,position_risk,congestion_numeric
1,Raya,David Raya Martín,1,Arsenal,GK,a,Available,100.0,,1890,21,0,0,1,0,320.2,20.3,0.0,34.1,21,450,0,0,900,17,High,85.9090909090909,1,10,0,1,0,2
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,1,Arsenal,GK,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,0,2
3,Hein,Karl Hein,1,Arsenal,GK,u,Unavailable,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,0,2
4,Setford,Tommy Setford,1,Arsenal,GK,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,0,2
5,Gabriel,Gabriel dos Santos Magalhães,1,Arsenal,DEF,a,Available,100.0,,1265,14,3,2,1,0,443.6,73.0,158.0,67.3,21,275,6,6,275,17,High,84.33333333333333,0,4,1,1,1,2
6,Saliba,William Saliba,1,Arsenal,DEF,a,Available,100.0,,1354,16,0,0,0,0,269.0,64.0,22.0,35.5,21,450,3,3,630,17,High,79.6470588235294,1,7,1,0,1,2
7,Calafiori,Riccardo Calafiori,1,Arsenal,DEF,i,Injured,0.0,Muscle injury - Unknown return date,1256,16,1,2,5,0,222.0,104.8,219.0,54.5,21,90,5,4,400,17,High,73.88235294117646,0,5,1,5,1,2
8,J.Timber,Jurriën Timber,1,Arsenal,DEF,a,Available,100.0,,1639,18,2,4,2,0,375.0,277.2,315.0,97.0,21,352,1,1,758,17,High,86.26315789473684,0,9,0,2,1,2
9,Kiwior,Jakub Kiwior,1,Arsenal,DEF,u,Unavailable,0.0,has joined Porto on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
10,Lewis-Skelly,Myles Lewis-Skelly,1,Arsenal,DEF,a,Available,100.0,,311,1,0,0,3,0,31.2,45.5,18.0,9.4,21,116,3,1,225,17,High,155.5,0,7,1,3,1,2
11,White,Benjamin White,1,Arsenal,DEF,a,Available,100.0,,287,4,0,1,0,0,92.2,77.1,34.0,20.3,21,7,6,12,217,17,High,57.4,0,4,1,0,1,2
13,Clarke,Brayden Clarke,1,Arsenal,DEF,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
14,Kacurri,Maldini Kacurri,1,Arsenal,DEF,u,Unavailable,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
15,Nichols,Josh Nichols,1,Arsenal,DEF,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
16,Saka,Bukayo Saka,1,Arsenal,MID,a,Available,100.0,,1420,16,4,7,1,0,383.8,533.8,510.0,142.8,21,362,0,2,739,17,High,83.52941176470588,0,10,0,1,2,2
17,Ødegaard,Martin Ødegaard,1,Arsenal,MID,a,Available,100.0,,870,11,1,3,0,0,216.4,376.3,130.0,72.3,21,423,1,5,669,17,High,72.5,1,9,0,0,2,2
18,Madueke,Noni Madueke,1,Arsenal,MID,a,Available,100.0,,505,6,0,0,0,0,58.8,159.3,175.0,39.3,21,85,3,6,201,17,High,72.14285714285714,0,7,1,0,2,2
19,Martinelli,Gabriel Martinelli Silva,1,Arsenal,MID,a,Available,100.0,,500,6,1,1,2,0,70.2,66.0,172.0,30.3,21,110,2,3,286,17,High,71.42857142857143,0,8,0,2,2,2
20,Trossard,Leandro Trossard,1,Arsenal,MID,a,Available,100.0,,1128,12,5,4,1,0,334.8,322.8,351.0,101.0,21,336,2,2,486,17,High,86.76923076923077,0,8,0,1,2,2
21,Rice,Declan Rice,1,Arsenal,MID,a,Available,100.0,,1695,19,4,7,1,0,536.4,580.7,210.0,132.8,21,360,1,1,802,17,High,84.75,0,9,0,1,2,2
22,Merino,Mikel Merino Zazón,1,Arsenal,MID,a,Available,100.0,,931,10,3,3,1,0,262.2,174.1,185.0,61.9,21,174,1,1,518,17,High,84.63636363636364,0,9,0,1,2,2
23,Fábio Vieira,Fábio Ferreira Vieira,1,Arsenal,MID,u,Unavailable,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
24,Nørgaard,Christian Nørgaard,1,Arsenal,MID,a,Available,100.0,,31,0,0,0,0,0,14.6,0.4,7.0,2.3,21,17,9,8,17,17,High,31.0,0,1,1,0,2,2
25,Nwaneri,Ethan Nwaneri,1,Arsenal,MID,a,Available,100.0,,165,0,0,0,0,0,8.6,22.5,24.0,5.4,21,0,9,9,2,17,High,165.0,0,1,1,0,2,2
26,Zubimendi,Martín Zubimendi Ibáñez,1,Arsenal,MID,a,Available,100.0,,1770,20,3,1,4,0,374.8,291.2,144.0,81.2,21,450,0,0,833,17,High,84.28571428571429,1,10,0,4,2,2
28,Kabia,Ismeal Kabia,1,Arsenal,MID,u,Unavailable,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
29,Sambi,Albert Sambi Lokonga,1,Arsenal,MID,u,Unavailable,0.0,has joined Hamburger permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
30,Havertz,Kai Havertz,1,Arsenal,FWD,a,Available,100.0,,30,0,0,0,0,0,2.8,0.8,2.0,0.6,21,0,10,20,0,17,High,30.0,0,0,1,0,2,2
31,G.Jesus,Gabriel Fernando de Jesus,1,Arsenal,FWD,a,Available,100.0,,116,0,1,0,1,0,53.6,6.5,94.0,15.3,21,107,4,15,116,17,High,116.0,0,6,1,1,2,2
266,Eze,Eberechi Eze,1,Arsenal,MID,a,Available,100.0,,1003,12,4,3,0,0,252.6,158.8,281.0,69.2,21,12,4,4,303,17,High,77.15384615384616,0,6,1,0,2,2
662,Mosquera,Cristhian Mosquera,1,Arsenal,DEF,i,Injured,0.0,Ankle injury - Unknown return date,429,4,0,0,1,0,84.0,23.2,8.0,11.5,21,0,7,7,135,17,High,85.8,0,3,1,1,1,2
666,Gyökeres,Viktor Gyökeres,1,Arsenal,FWD,a,Available,100.0,,1289,16,5,0,3,0,199.8,136.4,430.0,76.2,21,338,1,2,488,17,High,75.82352941176471,0,9,0,3,2,2
700,Dowman,Max Dowman,1,Arsenal,MID,i,Injured,0.0,Ankle injury - Unknown return date,27,0,0,1,0,0,1.0,0.8,26.0,2.8,21,0,10,18,0,17,High,27.0,0,0,1,0,2,2
711,Harriman-Annous,Andre Harriman-Annous,1,Arsenal,MID,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,19,0,17,High,0.0,0,0,1,0,2,2
725,Hincapie,Piero Hincapié,1,Arsenal,DEF,d,Doubtful,75.0,Muscle injury - 75% chance of playing,889,10,0,0,2,0,188.6,58.3,20.0,26.6,21,416,0,5,863,17,High,80.81818181818181,1,10,0,2,1,2
759,Salmon,Marli Salmon,1,Arsenal,DEF,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,7,7,0,17,High,0.0,0,3,1,0,1,2
32,Martinez,Emiliano Martínez Romero,2,Aston Villa,GK,d,Doubtful,75.0,Calf injury - 75% chance of playing,1485,17,0,0,1,0,379.6,3.0,0.0,38.2,21,405,2,1,675,17,High,82.5,1,8,0,1,0,2
33,M.Bizot,Marco Bizot,2,Aston Villa,GK,a,Available,100.0,,405,4,0,0,2,0,92.8,0.0,0.0,9.3,21,45,7,10,225,17,High,81.0,0,3,1,2,0,2
34,Gauci,Joe Gauci,2,Aston Villa,GK,u,Unavailable,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,0,2
35,Marschall,Filip Marschall,2,Aston Villa,GK,u,Unavailable,0.0,Has joined Stevenage permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,0,2
36,Cash,Matty Cash,2,Aston Villa,DEF,a,Available,100.0,,1771,20,3,2,5,0,425.2,295.3,123.0,84.4,21,359,1,1,805,17,High,84.33333333333333,0,9,0,5,1,2
37,Digne,Lucas Digne,2,Aston Villa,DEF,a,Available,100.0,,1192,14,0,3,2,0,237.8,277.5,89.0,60.2,21,205,1,1,375,17,High,79.46666666666667,0,9,0,2,1,2
38,Konsa,Ezri Konsa Ngoyo,2,Aston Villa,DEF,a,Available,100.0,,1775,20,0,0,0,1,360.2,71.4,72.0,50.7,21,450,0,1,900,17,High,84.52380952380952,1,10,0,3,1,2
39,Maatsen,Ian Maatsen,2,Aston Villa,DEF,a,Available,100.0,,688,7,0,0,1,0,139.4,138.5,103.0,38.3,21,241,2,1,519,17,High,86.0,0,8,0,1,1,2
40,Mings,Tyrone Mings,2,Aston Villa,DEF,a,Available,100.0,,497,6,0,0,0,0,120.2,44.6,25.0,19.0,21,0,10,11,0,17,High,71.0,0,0,1,0,1,2
41,Pau,Pau Torres,2,Aston Villa,DEF,a,Available,100.0,,952,10,0,1,0,0,207.6,17.3,26.0,25.3,21,0,6,6,355,17,High,86.54545454545455,0,4,1,0,1,2
42,A.García,Andrés García,2,Aston Villa,DEF,a,Available,100.0,,30,0,0,0,0,0,0.6,1.5,0.0,0.2,21,30,8,18,30,17,High,30.0,0,2,1,0,1,2
43,Alex Moreno,Álex Moreno Lopera,2,Aston Villa,DEF,u,Unavailable,0.0,Has joined Girona permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
44,Bogarde,Lamare Bogarde,2,Aston Villa,DEF,a,Available,100.0,,432,4,0,0,4,0,58.2,37.4,6.0,10.1,21,114,1,3,141,17,High,86.4,0,9,0,4,1,2
45,Sousa,Lino da Cruz Sousa,2,Aston Villa,DEF,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
46,Yasin,Yasin Özcan,2,Aston Villa,DEF,u,Unavailable,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,1,2
47,Rogers,Morgan Rogers,2,Aston Villa,MID,a,Available,100.0,,1867,21,7,4,4,0,455.6,358.8,455.0,126.8,21,441,0,0,891,17,High,84.86363636363636,1,10,0,4,2,2
48,Tielemans,Youri Tielemans,2,Aston Villa,MID,a,Available,100.0,,1132,13,0,4,0,0,261.2,294.5,139.0,69.5,21,441,0,6,798,17,High,80.85714285714286,1,10,0,0,2,2
49,Bailey,Leon Bailey,2,Aston Villa,MID,u,Unavailable,0.0,Has joined AS Roma on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
50,Buendía,Emiliano Buendía Stati,2,Aston Villa,MID,a,Available,100.0,,772,9,4,2,2,0,246.0,197.3,180.0,62.4,21,217,0,1,337,17,High,77.2,0,10,0,2,2,2
51,Iling Jr,Samuel Iling-Junior,2,Aston Villa,MID,u,Unavailable,0.0,has joined West Bromwich Albion on loan for the rest of the season,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
53,Malen,Donyell Malen,2,Aston Villa,MID,a,Available,100.0,,640,5,4,2,0,0,183.4,99.7,290.0,56.3,21,126,0,0,308,17,High,106.66666666666667,0,10,0,0,2,2
54,McGinn,John McGinn,2,Aston Villa,MID,a,Available,100.0,,1574,20,3,2,3,0,308.2,384.1,193.0,88.8,21,340,0,0,737,17,High,74.95238095238095,0,10,0,3,2,2
55,Barkley,Ross Barkley,2,Aston Villa,MID,i,Injured,0.0,Knee injury - Expected back 07 Feb,114,0,1,1,0,0,51.8,33.7,55.0,14.0,21,0,8,8,34,17,High,114.0,0,2,1,0,2,2
56,Barrenechea,Enzo Barrenechea,2,Aston Villa,MID,u,Unavailable,0.0,Season-long loan to Benfica,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
57,Dobbin,Lewis Dobbin,2,Aston Villa,MID,u,Unavailable,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
58,Kamara,Boubacar Kamara,2,Aston Villa,MID,d,Doubtful,75.0,Knee injury - 75% chance of playing,1410,17,1,3,5,0,325.0,241.3,75.0,64.2,21,340,1,2,766,17,High,78.33333333333333,0,9,0,5,2,2
59,Onana,Amadou Onana,2,Aston Villa,MID,i,Injured,0.0,Knock - Unknown return date,886,11,2,0,2,0,242.2,60.6,67.0,37.0,21,159,3,4,401,17,High,73.83333333333333,0,7,1,2,2,2
60,Broggio,Ben Broggio,2,Aston Villa,MID,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
61,Dendoncker,Leander Dendoncker,2,Aston Villa,MID,u,Unavailable,0.0,Has joined Real Oviedo permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,2,Aston Villa,MID,a,Available,100.0,,8,0,0,0,0,0,0.2,0.3,0.0,0.1,21,8,9,18,8,17,High,8.0,0,1,1,0,2,2
63,Young,Kadan Young,2,Aston Villa,MID,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
64,Watkins,Ollie Watkins,2,Aston Villa,FWD,a,Available,100.0,,1561,18,7,2,1,0,324.2,164.9,600.0,108.8,21,368,0,0,695,17,High,82.15789473684211,0,10,0,1,2,2
65,Redmond,Zépiqueno Redmond,2,Aston Villa,FWD,u,Unavailable,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,2,2
389,Elliott,Harvey Elliott,2,Aston Villa,MID,a,Available,100.0,,97,1,0,0,0,0,8.6,17.8,18.0,4.4,21,0,10,15,0,17,High,48.5,0,0,1,0,2,2
456,Sancho,Jadon Sancho,2,Aston Villa,MID,a,Available,100.0,,302,2,0,0,0,0,39.0,85.4,105.0,23.1,21,176,3,4,215,17,High,100.66666666666667,0,7,1,0,2,2
677,Guessand,Evann Guessand,2,Aston Villa,MID,a,Available,100.0,,511,6,0,2,0,0,75.4,42.4,109.0,22.3,21,6,8,4,91,17,High,73.0,0,2,1,0,2,2
688,Wright,James Wright,2,Aston Villa,GK,a,Available,100.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21,0,10,21,0,17,High,0.0,0,0,1,0,0,2
