id,code,web_name,first_name,second_name,full_name,team_id,team_name,team_short_name,team_strength,position_id,position,status,status_description,chance_of_playing_next,chance_of_playing_this,news,news_added,minutes,starts,expected_starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,influence,creativity,threat,ict_index,now_cost,selected_by_percent,in_dreamteam,fetch_date,current_gameweek,games_played,recent_minutes_last_5,recent_games_last_5,avg_minutes_per_game_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10,games_started_last_10,workload_trend,total_upcoming_fixtures,next_5_fixtures_count,avg_days_between_fixtures,congestion_level,home_fixtures_upcoming,away_fixtures_upcoming
1,154561,Raya,David,Raya Martín,David Raya Martín,1,Arsenal,ARS,5,1,GK,a,Available,100.0,100.0,,,1350,15,0.04,0,0,8,9,0,0,0,25,1,0,236.6,10.2,0.0,24.7,6.0,35.0,True,2025-12-10 15:30:26,15,15,450,5,90.0,0,0,900,10,stable,23,5,10.0,Low,12,11
2,109745,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Kepa Arrizabalaga Revuelta,1,Arsenal,ARS,5,1,GK,a,Available,100.0,100.0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.1,0.4,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
3,463748,Hein,Karl,Hein,Karl Hein,1,Arsenal,ARS,5,1,GK,u,Unavailable,0.0,0.0,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.2,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
4,551221,Setford,Tommy,Setford,Tommy Setford,1,Arsenal,ARS,5,1,GK,a,Available,100.0,100.0,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.9,0.2,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
5,226597,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,1,Arsenal,ARS,5,2,DEF,i,Injured,0.0,0.0,Thigh injury - Unknown return date,2025-11-17T12:00:07.436586Z,990,11,1.51,1,2,7,5,0,0,0,0,1,0,318.6,62.6,88.0,46.9,6.2,15.2,True,2025-12-10 15:30:26,15,15,90,1,18.0,4,4,540,6,decreasing,23,5,10.0,Low,12,11
6,462424,Saliba,William,Saliba,William Saliba,1,Arsenal,ARS,5,2,DEF,d,Doubtful,75.0,75.0,Knock - 75% chance of playing,2025-11-30T22:30:08.957329Z,814,10,0.53,0,0,5,4,0,0,0,0,0,0,185.2,35.6,16.0,23.7,6.0,10.8,False,2025-12-10 15:30:26,15,15,180,2,36.0,3,3,540,5,decreasing,23,5,10.0,Low,12,11
7,466075,Calafiori,Riccardo,Calafiori,Riccardo Calafiori,1,Arsenal,ARS,5,2,DEF,s,Suspended,0.0,100.0,Suspended until 20 Dec,2025-12-06T20:00:08.845719Z,1166,15,2.82,1,2,8,7,0,0,0,0,5,0,206.0,100.3,219.0,52.4,5.8,12.6,False,2025-12-10 15:30:26,15,15,400,5,80.0,0,0,785,9,stable,23,5,10.0,Low,12,11
8,445122,J.Timber,Jurriën,Timber,Jurriën Timber,1,Arsenal,ARS,5,2,DEF,a,Available,100.0,100.0,,,1197,13,3.83,2,3,6,9,0,0,0,0,2,0,294.2,199.1,246.0,74.1,6.5,36.4,False,2025-12-10 15:30:26,15,15,406,5,81.2,0,0,856,9,stable,23,5,10.0,Low,12,11
9,440854,Kiwior,Jakub,Kiwior,Jakub Kiwior,1,Arsenal,ARS,5,2,DEF,u,Unavailable,0.0,0.0,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,0.1,False,2025-12-10 15:30:26,15,15,0,0,0.0,10,15,0,0,stable,23,5,10.0,Low,12,11
10,499169,Lewis-Skelly,Myles,Lewis-Skelly,Myles Lewis-Skelly,1,Arsenal,ARS,5,2,DEF,a,Available,100.0,100.0,,,136,0,0.02,0,0,0,2,0,0,0,0,2,0,11.4,9.4,4.0,2.4,5.1,1.6,False,2025-12-10 15:30:26,15,15,50,3,10.0,3,1,70,0,increasing,23,5,10.0,Low,12,11
