id,name,full_name,team,position,total_minutes,games_played,total_points,recent_minutes,recent_games,minutes_per_recent_game,times_unavailable_last_10,estimated_injury_count,goals,assists,yellow_cards,red_cards,chance_of_playing,news,status,form,influence,creativity,threat,ict_index,selected_by_percent,estimated_age
1,Raya,David Raya Martín,Arsenal,1,1350,15,66,450,5,90.0,0,0,0,0,1,0,100,,a,3.2,236.6,10.2,0.0,24.7,35.0,28
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,Arsenal,1,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.4,23
3,Hein,Karl Hein,Arsenal,1,0,0,0,0,0,0.0,10,15,0,0,0,0,100,Has joined Werder Bremen on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.2,23
4,Setford,Tommy Setford,Arsenal,1,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.2,23
5,Gabriel,Gabriel dos Santos Magalhães,Arsenal,2,990,11,81,90,1,90.0,4,4,1,2,1,0,100,Thigh injury - Unknown return date,i,0.0,318.6,62.6,88.0,46.9,15.2,27
6,Saliba,William Saliba,Arsenal,2,814,10,41,180,2,90.0,3,0,0,0,0,0,75,Knock - 75% chance of playing,d,0.5,185.2,35.6,16.0,23.7,10.8,27
7,Calafiori,Riccardo Calafiori,Arsenal,2,1166,15,71,400,5,80.0,0,0,1,2,5,0,100,Suspended until 20 Dec,s,2.5,206.0,100.3,219.0,52.4,12.6,27
8,J.Timber,Jurriën Timber,Arsenal,2,1197,13,78,406,5,81.2,0,0,2,3,2,0,100,,a,2.8,294.2,199.1,246.0,74.1,36.4,27
9,Kiwior,Jakub Kiwior,Arsenal,2,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Porto on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,22
10,Lewis-Skelly,Myles Lewis-Skelly,Arsenal,2,136,0,8,50,3,16.666666666666668,3,0,0,0,2,0,100,,a,0.5,11.4,9.4,4.0,2.4,1.6,22
11,White,Benjamin White,Arsenal,2,250,3,21,180,2,90.0,8,0,0,1,0,0,100,,a,3.8,89.2,58.4,32.0,18.0,0.9,22
13,Clarke,Brayden Clarke,Arsenal,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.5,22
14,Kacurri,Maldini Kacurri,Arsenal,2,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Morecambe on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,22
15,Nichols,Josh Nichols,Arsenal,2,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.2,22
16,Saka,Bukayo Saka,Arsenal,3,968,11,64,377,5,75.4,0,0,4,2,1,0,100,,a,4.8,284.2,349.3,347.0,98.1,19.4,26
17,Ødegaard,Martin Ødegaard,Arsenal,3,414,6,19,213,3,71.0,5,0,0,1,0,0,100,,a,1.5,88.2,154.0,55.0,29.7,1.5,24
18,Madueke,Noni Madueke,Arsenal,3,420,5,16,116,4,29.0,6,0,0,0,0,0,100,,a,1.5,42.6,118.2,155.0,31.5,0.6,24
19,Martinelli,Gabriel Martinelli Silva,Arsenal,3,334,4,21,120,3,40.0,3,0,1,0,0,0,100,,a,1.2,58.0,45.8,110.0,21.5,0.9,21
20,Trossard,Leandro Trossard,Arsenal,3,759,8,58,207,3,69.0,2,0,4,3,0,0,75,Knock - 75% chance of playing,d,4.5,242.2,183.4,261.0,68.7,0.8,26
21,Rice,Declan Rice,Arsenal,3,1245,14,84,442,5,88.4,0,0,2,5,1,0,75,Illness - 75% chance of playing,d,4.8,390.4,456.6,144.0,99.1,23.4,26
22,Merino,Mikel Merino Zazón,Arsenal,3,725,8,51,402,5,80.4,0,0,3,3,0,0,100,,a,7.0,227.8,120.0,155.0,50.0,4.0,26
23,Fábio Vieira,Fábio Ferreira Vieira,Arsenal,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Hamburger on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.0,21
24,Nørgaard,Christian Nørgaard,Arsenal,3,14,0,2,0,0,0.0,8,0,0,0,0,0,100,,a,0.0,6.4,0.1,7.0,1.4,0.1,21
25,Nwaneri,Ethan Nwaneri,Arsenal,3,165,0,8,2,1,2.0,7,0,0,0,0,0,100,,a,0.2,8.6,22.5,24.0,5.4,0.1,21
26,Zubimendi,Martín Zubimendi Ibáñez,Arsenal,3,1263,14,55,416,5,83.2,0,0,2,1,3,0,100,,a,1.8,247.4,203.9,75.0,52.8,2.4,26
28,Kabia,Ismeal Kabia,Arsenal,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Shrewsbury Town on loan for the rest of the season.,u,0.0,0.0,0.0,0.0,0.0,0.1,21
29,Sambi,Albert Sambi Lokonga,Arsenal,3,0,0,0,0,0,0.0,10,15,0,0,0,0,100,has joined Hamburger permanently.,u,0.0,0.0,0.0,0.0,0.0,0.1,21
30,Havertz,Kai Havertz,Arsenal,4,30,0,1,0,0,0.0,10,14,0,0,0,0,100,Knee injury - Unknown return date,i,0.0,2.8,0.8,2.0,0.6,0.3,21
31,G.Jesus,Gabriel Fernando de Jesus,Arsenal,4,0,0,0,0,0,0.0,10,0,0,0,0,0,100,,a,0.0,0.0,0.0,0.0,0.0,0.1,21
266,Eze,Eberechi Eze,Arsenal,3,935,11,65,322,5,64.4,0,0,4,3,0,0,100,,a,6.0,248.0,147.6,279.0,67.4,19.0,26
662,Mosquera,Cristhian Mosquera,Arsenal,2,429,4,17,137,4,34.25,4,5,0,0,1,0,100,Ankle injury - Unknown return date,i,0.8,84.0,23.2,8.0,11.5,0.2,22
666,Gyökeres,Viktor Gyökeres,Arsenal,4,871,10,39,70,3,23.33333333333333,2,0,4,0,2,0,100,,a,0.5,159.8,109.3,318.0,58.6,10.5,26
700,Dowman,Max Dowman,Arsenal,3,27,0,5,0,0,0.0,10,12,0,1,0,0,100,Ankle injury - Unknown return date,i,0.0,1.0,0.8,26.0,2.8,0.5,21
