player_id,recent_minutes_last_5,times_unavailable_last_10,max_consecutive_unavailable,total_minutes_last_10
1,450,0,0,900
2,0,10,21,0
3,0,10,21,0
4,0,10,21,0
5,275,6,6,275
6,450,3,3,630
7,90,5,4,400
8,352,1,1,758
9,0,10,21,0
10,116,3,1,225
11,7,6,12,217
13,0,10,21,0
14,0,10,21,0
15,0,10,21,0
16,362,0,2,739
17,423,1,5,669
18,85,3,6,201
19,110,2,3,286
20,336,2,2,486
21,360,1,1,802
22,174,1,1,518
23,0,10,21,0
24,17,9,8,17
25,0,9,9,2
26,450,0,0,833
28,0,10,21,0
29,0,10,21,0
30,0,10,20,0
31,107,4,15,116
266,12,4,4,303
662,0,7,7,135
666,338,1,2,488
700,0,10,18,0
711,0,10,19,0
725,416,0,5,863
759,0,7,7,0
32,405,2,1,675
33,45,7,10,225
34,0,10,21,0
35,0,10,21,0
36,359,1,1,805
37,205,1,1,375
38,450,0,1,900
39,241,2,1,519
40,0,10,11,0
41,0,6,6,355
42,30,8,18,30
43,0,10,21,0
44,114,1,3,141
45,0,10,21,0
46,0,10,21,0
47,441,0,0,891
48,441,0,6,798
49,0,10,21,0
50,217,0,1,337
51,0,10,21,0
53,126,0,0,308
54,340,0,0,737
55,0,8,8,34
56,0,10,21,0
57,0,10,21,0
58,340,1,2,766
59,159,3,4,401
60,0,10,21,0
61,0,10,21,0
62,8,9,18,8
63,0,10,21,0
64,368,0,0,695
65,0,10,21,0
389,0,10,15,0
456,176,3,4,215
677,6,8,4,91
688,0,10,21,0
701,0,10,20,0
702,0,10,18,0
703,0,10,20,0
710,0,10,19,0
719,450,3,7,544
754,8,9,7,8
757,0,8,8,0
768,0,5,5,0
781,0,2,2,0
792,0,1,1,0
183,0,10,21,0
184,0,10,21,0
185,0,10,21,0
186,0,10,21,0
187,436,1,1,796
188,0,10,21,0
189,0,10,21,0
190,360,3,4,630
191,104,3,2,554
192,0,6,5,360
193,345,6,11,345
194,0,10,21,0
195,450,4,10,492
196,0,10,21,0
197,49,6,12,62
198,0,7,6,256
199,90,8,7,135
200,205,1,1,365
201,0,10,21,0
202,207,1,2,442
203,0,10,21,0
204,0,10,21,0
205,142,3,3,572
206,315,2,8,376
207,57,6,6,165
208,0,10,21,0
209,450,2,1,496
210,123,4,2,317
211,0,10,21,0
212,0,10,21,0
213,9,9,19,9
214,12,6,15,19
215,66,3,3,317
216,0,10,21,0
217,14,4,4,302
218,2,9,10,2
219,0,10,21,0
470,450,0,0,900
676,402,0,1,694
680,340,0,3,551
722,304,1,1,656
776,0,3,3,0
784,0,2,2,0
66,0,10,21,0
67,450,0,0,900
68,0,10,21,0
69,0,10,21,0
70,0,10,21,0
71,0,10,21,0
72,450,1,1,781
73,46,4,7,309
74,436,0,0,886
75,0,10,21,0
76,0,10,21,0
77,270,5,6,299
78,0,10,21,0
79,0,10,21,0
80,13,8,9,33
81,271,2,1,522
84,446,0,0,836
85,0,6,5,243
86,287,1,1,383
87,16,8,4,61
88,286,4,3,421
89,0,10,21,0
90,337,0,0,681
91,0,10,21,0
92,0,10,21,0
93,0,10,20,0
94,0,10,21,0
95,0,10,21,0
96,0,10,20,0
97,324,0,2,685
98,77,2,8,110
99,0,10,21,0
100,150,2,2,317
391,0,10,11,0
685,138,2,2,543
687,0,10,21,0
697,45,1,1,219
713,446,1,1,744
721,1,8,6,91
756,0,8,8,0
782,0,2,2,0
27,19,6,9,34
83,0,5,5,421
101,450,0,0,900
102,0,10,21,0
103,0,10,21,0
104,0,10,21,0
105,0,10,21,0
106,450,0,0,826
107,354,0,1,458
108,360,2,1,583
109,360,1,2,523
110,441,0,0,876
111,0,9,8,73
112,0,10,21,0
113,90,4,4,540
114,0,10,21,0
115,0,10,21,0
116,96,3,3,253
117,0,10,21,0
118,0,10,21,0
120,412,1,1,725
121,158,1,1,445
122,0,10,20,0
123,0,10,11,0
124,131,1,1,520
125,450,1,4,613
126,287,0,1,550
127,0,10,21,0
128,0,10,12,0
129,437,0,0,696
130,0,10,21,0
131,0,10,21,0
132,0,10,21,0
133,1,9,19,1
134,0,10,21,0
136,441,0,0,831
137,0,10,21,0
748,0,10,11,0
138,0,10,21,0
139,450,0,0,900
140,0,10,21,0
141,0,10,21,0
142,0,10,21,0
143,90,7,11,142
144,176,8,8,176
145,275,1,1,564
146,360,1,1,765
147,0,10,21,0
