id,name,full_name,team,position,cost,total_points,minutes,goals,assists,clean_sheets,yellow_cards,red_cards,chance_of_playing_next_round,news,status,form,selected_by_percent,transfers_in,transfers_out,games_played,bonus_points,influence,creativity,threat,ict_index
1,Raya,David Raya Martín,Arsenal,1,5.9,64,1260,0,0,8,1,0,,,a,3.0,33.0,2549411,1049601,14,3,201.2,10.2,0.0,21.2
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,Arsenal,1,4.2,0,0,0,0,0,0,0,,,a,0.0,0.4,8854,64088,0,0,0.0,0.0,0.0,0.0
3,Hein,Karl Hein,Arsenal,1,4.0,0,0,0,0,0,0,0,0.0,Has joined Werder Bremen on loan for the rest of the season.,u,0.0,0.3,5545,42647,0,0,0.0,0.0,0.0,0.0
4,Setford,Tommy Setford,Arsenal,1,3.9,0,0,0,0,0,0,0,,,a,0.0,0.2,17927,18812,0,0,0.0,0.0,0.0,0.0
5,Gabriel,Gabriel dos Santos Magalhães,Arsenal,2,6.3,81,990,1,2,7,1,0,0.0,Thigh injury - Unknown return date,i,0.2,18.2,3877508,4127639,11,13,318.6,62.6,88.0,46.9
6,Saliba,William Saliba,Arsenal,2,6.0,41,814,0,0,5,0,0,75.0,Knock - 75% chance of playing,d,0.8,12.0,989144,1480199,10,1,185.2,35.6,16.0,23.7
7,Calafiori,Riccardo Calafiori,Arsenal,2,5.8,70,1081,1,2,8,4,0,100.0,,a,2.5,14.9,2286988,994741,14,4,199.4,97.2,213.0,50.8
8,J.Timber,Jurriën Timber,Arsenal,2,6.4,75,1107,2,3,6,2,0,,,a,2.2,34.4,4391777,768249,12,7,270.2,197.3,242.0,71.1
9,Kiwior,Jakub Kiwior,Arsenal,2,5.4,0,0,0,0,0,0,0,0.0,has joined Porto on loan for the rest of the season.,u,0.0,0.1,1119,10625,0,0,0.0,0.0,0.0,0.0
10,Lewis-Skelly,Myles Lewis-Skelly,Arsenal,2,5.1,7,132,0,0,0,2,0,,,a,0.2,1.5,57754,371447,0,0,10.4,9.4,4.0,2.3
11,White,Benjamin White,Arsenal,2,5.3,20,160,0,1,2,0,0,100.0,,a,3.5,0.4,36822,96433,2,3,65.2,40.8,9.0,11.5
13,Clarke,Brayden Clarke,Arsenal,2,3.8,0,0,0,0,0,0,0,,,a,0.0,0.5,34204,55326,0,0,0.0,0.0,0.0,0.0
14,Kacurri,Maldini Kacurri,Arsenal,2,3.9,0,0,0,0,0,0,0,0.0,has joined Morecambe on loan for the rest of the season.,u,0.0,0.1,10218,20676,0,0,0.0,0.0,0.0,0.0
15,Nichols,Josh Nichols,Arsenal,2,3.8,0,0,0,0,0,0,0,,,a,0.0,0.2,13926,19788,0,0,0.0,0.0,0.0,0.0
16,Saka,Bukayo Saka,Arsenal,3,10.1,60,890,4,1,5,0,0,100.0,,a,6.8,18.0,2600800,2262439,10,5,271.6,303.0,311.0,88.6
17,Ødegaard,Martin Ødegaard,Arsenal,3,7.8,17,324,0,1,2,0,0,100.0,,a,1.0,1.4,141434,418012,5,0,59.4,118.8,28.0,20.6
18,Madueke,Noni Madueke,Arsenal,3,6.8,15,409,0,0,3,0,0,100.0,,a,1.2,0.6,155983,229549,5,0,42.6,118.9,147.0,30.8
19,Martinelli,Gabriel Martinelli Silva,Arsenal,3,6.8,20,330,1,0,2,0,0,100.0,,a,1.0,0.8,99324,181805,4,1,58.0,45.7,112.0,21.7
20,Trossard,Leandro Trossard,Arsenal,3,6.9,52,719,3,3,4,0,0,75.0,Knock - 75% chance of playing,d,5.2,0.8,148083,100995,8,6,205.2,182.8,203.0,59.1
21,Rice,Declan Rice,Arsenal,3,7.1,78,1155,2,5,7,1,0,75.0,Calf injury - 75% chance of playing,d,3.8,24.2,2812768,891980,13,10,353.8,418.9,132.0,90.5
22,Merino,Mikel Merino Zazón,Arsenal,3,5.9,50,680,3,3,3,0,0,,,a,8.0,1.9,281481,141784,7,4,222.0,118.4,153.0,49.0
23,Fábio Vieira,Fábio Ferreira Vieira,Arsenal,3,5.4,0,0,0,0,0,0,0,0.0,has joined Hamburger on loan for the rest of the season.,u,0.0,0.0,933,4310,0,0,0.0,0.0,0.0,0.0
24,Nørgaard,Christian Nørgaard,Arsenal,3,5.2,2,14,0,0,0,0,0,100.0,,a,0.0,0.1,4587,56941,0,0,6.4,0.1,7.0,1.4
25,Nwaneri,Ethan Nwaneri,Arsenal,3,5.1,8,165,0,0,1,0,0,,,a,0.2,0.1,11194,31866,0,0,8.6,22.5,24.0,5.4
26,Zubimendi,Martín Zubimendi Ibáñez,Arsenal,3,5.3,53,1173,2,1,8,3,0,100.0,,a,2.5,2.6,631531,623961,13,4,234.6,202.3,75.0,51.3
