id,web_name,full_name,team_id,team_name,position,status,status_description,chance_of_playing_next,news,minutes,starts,goals_scored,assists,yellow_cards,red_cards,influence,creativity,threat,ict_index,current_gameweek
1,Raya,David Raya Martín,1,Arsenal,GK,a,Available,,,1890,21,0,0,1,0,320.2,20.3,0.0,34.1,21
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,1,Arsenal,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
3,Hein,Karl Hein,1,Arsenal,GK,u,Unavailable,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
4,Setford,Tommy Setford,1,Arsenal,GK,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
5,Gabriel,Gabriel dos Santos Magalhães,1,Arsenal,DEF,a,Available,100.0,,1265,14,3,2,1,0,443.6,73.0,158.0,67.3,21
6,Saliba,William Saliba,1,Arsenal,DEF,a,Available,100.0,,1354,16,0,0,0,0,269.0,64.0,22.0,35.5,21
7,Calafiori,Riccardo Calafiori,1,Arsenal,DEF,i,Injured,0.0,Muscle injury - Unknown return date,1256,16,1,2,5,0,222.0,104.8,219.0,54.5,21
8,J.Timber,Jurriën Timber,1,Arsenal,DEF,a,Available,100.0,,1639,18,2,4,2,0,375.0,277.2,315.0,97.0,21
9,Kiwior,Jakub Kiwior,1,Arsenal,DEF,u,Unavailable,0.0,has joined Porto on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
10,Lewis-Skelly,Myles Lewis-Skelly,1,Arsenal,DEF,a,Available,,,311,1,0,0,3,0,31.2,45.5,18.0,9.4,21
11,White,Benjamin White,1,Arsenal,DEF,a,Available,100.0,,287,4,0,1,0,0,92.2,77.1,34.0,20.3,21
13,Clarke,Brayden Clarke,1,Arsenal,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
14,Kacurri,Maldini Kacurri,1,Arsenal,DEF,u,Unavailable,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
15,Nichols,Josh Nichols,1,Arsenal,DEF,a,Available,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
16,Saka,Bukayo Saka,1,Arsenal,MID,a,Available,100.0,,1420,16,4,7,1,0,383.8,533.8,510.0,142.8,21
17,Ødegaard,Martin Ødegaard,1,Arsenal,MID,a,Available,100.0,,870,11,1,3,0,0,216.4,376.3,130.0,72.3,21
18,Madueke,Noni Madueke,1,Arsenal,MID,a,Available,100.0,,505,6,0,0,0,0,58.8,159.3,175.0,39.3,21
19,Martinelli,Gabriel Martinelli Silva,1,Arsenal,MID,a,Available,100.0,,500,6,1,1,2,0,70.2,66.0,172.0,30.3,21
20,Trossard,Leandro Trossard,1,Arsenal,MID,a,Available,100.0,,1128,12,5,4,1,0,334.8,322.8,351.0,101.0,21
21,Rice,Declan Rice,1,Arsenal,MID,a,Available,100.0,,1695,19,4,7,1,0,536.4,580.7,210.0,132.8,21
22,Merino,Mikel Merino Zazón,1,Arsenal,MID,a,Available,,,931,10,3,3,1,0,262.2,174.1,185.0,61.9,21
23,Fábio Vieira,Fábio Ferreira Vieira,1,Arsenal,MID,u,Unavailable,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
24,Nørgaard,Christian Nørgaard,1,Arsenal,MID,a,Available,100.0,,31,0,0,0,0,0,14.6,0.4,7.0,2.3,21
25,Nwaneri,Ethan Nwaneri,1,Arsenal,MID,a,Available,,,165,0,0,0,0,0,8.6,22.5,24.0,5.4,21
26,Zubimendi,Martín Zubimendi Ibáñez,1,Arsenal,MID,a,Available,100.0,,1770,20,3,1,4,0,374.8,291.2,144.0,81.2,21
28,Kabia,Ismeal Kabia,1,Arsenal,MID,u,Unavailable,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
29,Sambi,Albert Sambi Lokonga,1,Arsenal,MID,u,Unavailable,0.0,has joined Hamburger permanently.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21
30,Havertz,Kai Havertz,1,Arsenal,FWD,a,Available,100.0,,30,0,0,0,0,0,2.8,0.8,2.0,0.6,21
31,G.Jesus,Gabriel Fernando de Jesus,1,Arsenal,FWD,a,Available,100.0,,116,0,1,0,1,0,53.6,6.5,94.0,15.3,21
266,Eze,Eberechi Eze,1,Arsenal,MID,a,Available,,,1003,12,4,3,0,0,252.6,158.8,281.0,69.2,21
662,Mosquera,Cristhian Mosquera,1,Arsenal,DEF,i,Injured,0.0,Ankle injury - Unknown return date,429,4,0,0,1,0,84.0,23.2,8.0,11.5,21
