id,name,founded,country
33,Manchester United,1878,England
34,Newcastle,1892,England
38,Watford,1881,England
39,Wolves,1877,England
40,Liverpool,1892,England
41,Southampton,1885,England
42,Arsenal,1886,England
44,Burnley,1882,England
45,Everton,1878,England
46,Leicester,1884,England
47,Tottenham,1882,England
48,West Ham,1895,England
49,Chelsea,1905,England
50,Manchester City,1880,England
51,Brighton,1901,England
52,Crystal Palace,1861,England
55,Brentford,1889,England
63,Leeds,1919,England
66,Aston Villa,1874,England
71,Norwich,1902,England
